所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式 - 分摊成本=资源月租*项目分摊时长/当月总时长,系统已启动，用户已登录,"1. 打开结算管理页面
2. 选择成本明细功能
3. 选择对账类型为按月
4. 选择默认计算方式
5. 输入资源月租
6. 输入项目分摊时长
7. 输入当月总时长
8. 点击计算分摊成本按钮","1. 成功打开结算管理页面
2. 成功选择成本明细功能
3. 成功选择对账类型为按月
4. 成功选择默认计算方式
5. 资源月租输入正确
6. 项目分摊时长输入正确
7. 当月总时长输入正确
8. 系统正确计算并显示分摊成本",1,3,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式/,"结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式 - 保留2位小数,四舍五入。",系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按月
5. 选择默认计算方式
6. 设置保留2位小数，四舍五入
7. 输入相关测试数据
8. 点击计算按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按月
5. 成功选择默认计算方式
6. 成功设置保留2位小数，四舍五入
7. 数据正确输入
8. 系统成功处理并提示计算结果，结果保留2位小数，四舍五入",1,2,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 默认计算方式 - 当分摊时长=当月天数时，分摊成本直接拿资源月租,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按月
5. 选择默认计算方式
6. 设置分摊时长为当月天数
7. 输入资源月租数据
8. 点击计算按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按月
5. 成功选择默认计算方式
6. 成功设置分摊时长为当月天数
7. 资源月租数据正确输入
8. 系统成功计算并显示分摊成本为资源月租",1,2,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后 - 分摊成本=资源月度对账金额*项目分摊时长/当月总时长,系统已启动，用户已登录,"1. 打开结算管理页面
2. 选择成本明细功能
3. 选择分摊成本（对账类型按月）
4. 选择对账单异常处理后
5. 输入资源月度对账金额
6. 输入项目分摊时长
7. 输入当月总时长
8. 点击计算分摊成本按钮","1. 成功打开结算管理页面
2. 成功选择成本明细功能
3. 成功选择分摊成本（对账类型按月）
4. 成功选择对账单异常处理后
5. 资源月度对账金额输入正确
6. 项目分摊时长输入正确
7. 当月总时长输入正确
8. 系统正确计算并显示分摊成本",1,1,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后/,"结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后 - 保留2位小数,四舍五入。",系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按月
5. 对账单异常处理后
6. 设置保留2位小数，四舍五入
7. 点击提交按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按月
5. 对账单异常处理成功
6. 设置保留2位小数，四舍五入成功
7. 系统成功处理并提示操作成功",1,2,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按月） - 对账单异常处理后 - 当分摊时长=当月天数时，分摊成本直接拿资源月度对账金额,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按月
5. 选择对账单异常处理后
6. 设置分摊时长为当月天数
7. 输入资源月度对账金额
8. 点击提交按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按月
5. 成功选择对账单异常处理后
6. 成功设置分摊时长为当月天数
7. 资源月度对账金额正确输入
8. 系统成功处理并提示操作成功",1,4,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式 - 分摊成本=资源金额/12个月*项目分摊时长/当月总时长,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择对账类型为按年
4. 选择默认计算方式
5. 输入资源金额
6. 输入项目分摊时长
7. 输入当月总时长
8. 点击计算分摊成本按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择对账类型为按年
4. 成功选择默认计算方式
5. 资源金额输入正确
6. 项目分摊时长输入正确
7. 当月总时长输入正确
8. 系统正确计算分摊成本并显示结果",1,3,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式/,"结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式 - 保留2位小数,四舍五入。",系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 设置对账类型为按年
5. 选择默认计算方式
6. 设置保留2位小数，四舍五入
7. 输入相关测试数据
8. 点击计算按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 对账类型设置为按年
5. 默认计算方式被选中
6. 保留2位小数，四舍五入设置成功
7. 测试数据正确输入
8. 系统成功处理并显示计算结果，结果保留2位小数，四舍五入",1,2,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 默认计算方式 - 当分摊时长=当月天数时，分摊成本：资源金额/12个月,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按年
5. 选择默认计算方式
6. 设置分摊时长为当月天数
7. 输入资源金额
8. 点击计算按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按年
5. 成功选择默认计算方式
6. 成功设置分摊时长为当月天数
7. 资源金额正确输入
8. 系统成功计算并显示分摊成本为资源金额/12个月",1,4,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后 - 分摊成本=资源月度对账金额*项目分摊时长/当月总时长,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按年
5. 选择对账单异常处理后
6. 输入资源月度对账金额
7. 输入项目分摊时长
8. 输入当月总时长
9. 点击计算分摊成本按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按年
5. 成功选择对账单异常处理后
6. 资源月度对账金额正确输入
7. 项目分摊时长正确输入
8. 当月总时长正确输入
9. 系统成功计算分摊成本并显示结果为资源月度对账金额*项目分摊时长/当月总时长",1,1,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后/,"结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后 - 保留2位小数,四舍五入。",系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按年
5. 对账单异常处理后
6. 设置保留2位小数，四舍五入
7. 点击提交按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按年
5. 对账单异常处理成功
6. 设置保留2位小数，四舍五入成功
7. 系统成功处理并提示操作成功",1,1,功能测试,功能测试阶段
/结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后/,结算管理（中婷） - 成本明细 - 分摊成本（对账类型按年） - 对账单异常处理后 - 当分摊时长=当月天数时，分摊成本直接拿资源月度对账金额,系统已启动，用户已登录,"1. 打开结算管理功能页面
2. 选择成本明细模块
3. 选择分摊成本功能
4. 选择对账类型为按年
5. 选择对账单异常处理后
6. 设置分摊时长为当月天数
7. 输入资源月度对账金额
8. 点击提交按钮","1. 成功打开结算管理功能页面
2. 成功选择成本明细模块
3. 成功选择分摊成本功能
4. 成功选择对账类型为按年
5. 成功选择对账单异常处理后
6. 成功设置分摊时长为当月天数
7. 资源月度对账金额正确输入
8. 系统成功处理并提示操作成功",1,4,功能测试,功能测试阶段
